,District,Area,Year,Number
311,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2010 год,38.0
312,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2015 год,57.0
313,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2013 год,46.0
314,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2014 год,48.0
315,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2012 год,59.0
316,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2017 год,58.0
317,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2022 год,59.0
318,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2021 год,60.0
319,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2020 год,71.0
320,БУЛАНДЫНСКИЙ РАЙОН,городская местность,2023 год,37.0
321,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2019 год,21
322,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2018 год,23.0
323,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2009 год,24.0
324,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2011 год,8.0
325,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2016 год,26.0
326,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2010 год,17.0
327,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2015 год,20.0
328,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2013 год,27.0
329,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2014 год,18.0
330,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2012 год,17.0
331,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2017 год,19.0
332,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2022 год,22.0
333,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2021 год,18.0
334,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2020 год,19.0
335,БУЛАНДЫНСКИЙ РАЙОН,сельская местность,2023 год,11.0
336,БУЛАНДЫНСКИЙ РАЙОН,Всего,2019 год,89
337,БУЛАНДЫНСКИЙ РАЙОН,Всего,2018 год,71.0
338,БУЛАНДЫНСКИЙ РАЙОН,Всего,2009 год,73.0
339,БУЛАНДЫНСКИЙ РАЙОН,Всего,2011 год,60.0
340,БУЛАНДЫНСКИЙ РАЙОН,Всего,2016 год,85.0
341,БУЛАНДЫНСКИЙ РАЙОН,Всего,2010 год,55.0
342,БУЛАНДЫНСКИЙ РАЙОН,Всего,2015 год,77.0
343,БУЛАНДЫНСКИЙ РАЙОН,Всего,2013 год,73.0
344,БУЛАНДЫНСКИЙ РАЙОН,Всего,2014 год,66.0
345,БУЛАНДЫНСКИЙ РАЙОН,Всего,2012 год,76.0
346,БУЛАНДЫНСКИЙ РАЙОН,Всего,2017 год,77.0
347,БУЛАНДЫНСКИЙ РАЙОН,Всего,2022 год,81.0
348,БУЛАНДЫНСКИЙ РАЙОН,Всего,2021 год,78.0
349,БУЛАНДЫНСКИЙ РАЙОН,Всего,2020 год,90.0
350,БУЛАНДЫНСКИЙ РАЙОН,Всего,2023 год,48.0
351,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2019 год,23
352,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2018 год,21.0
353,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2009 год,11.0
354,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2011 год,18.0
355,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2016 год,22.0
356,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2010 год,16.0
357,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2015 год,17.0
358,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2013 год,23.0
359,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2014 год,22.0
360,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2012 год,25.0
361,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2017 год,11.0
362,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2022 год,14.0
363,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2021 год,27.0
364,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2020 год,27.0
365,ЕГИНДЫКОЛЬСКИЙ РАЙОН,сельская местность,2023 год,10.0
366,ЕГИНДЫКОЛЬСКИЙ РАЙОН,Всего,2019 год,23
367,ЕГИНДЫКОЛЬСКИЙ РАЙОН,Всего,2018 год,21.0
368,ЕГИНДЫКОЛЬСКИЙ РАЙОН,Всего,2009 год,11.0
369,ЕГИНДЫКОЛЬСКИЙ РАЙОН,Всего,2011 год,18.0
370,ЕГИНДЫКОЛЬСКИЙ РАЙОН,Всего,2016 год,22.0
